Nome;Classe;Sobreviveu;Sexo;Idade;N_Irmaos_Conjuges;N_Fihos_pais;Porto_Embarque
Gill, Mr. John William;2;0;male;24;0;0;S
Gillespie, Mr. William Henry;2;0;male;34;0;0;S
Givard, Mr. Hans Kristensen;2;0;male;30;0;0;S
Greenberg, Mr. Samuel;2;0;male;52;0;0;S
Hale, Mr. Reginald;2;0;male;30;0;0;S
Hamalainen, Master. Viljo;2;1;male;0,6667;1;1;S
Hamalainen, Mrs. William (Anna);2;1;female;24;0;2;S
Harbeck, Mr. William H;2;0;male;44;0;0;S
"Harper, Miss. Annie Jessie ""Nina""";2;1;female;6;0;1;S
Harper, Rev. John;2;0;male;28;0;1;S
Harris, Mr. George;2;1;male;62;0;0;S
Harris, Mr. Walter;2;0;male;30;0;0;S
Hart, Miss. Eva Miriam;2;1;female;7;0;2;S
Hart, Mr. Benjamin;2;0;male;43;1;1;S
Hart, Mrs. Benjamin (Esther Ada Bloomfield);2;1;female;45;1;1;S
Herman, Miss. Alice;2;1;female;24;1;2;S
Herman, Miss. Kate;2;1;female;24;1;2;S
Herman, Mr. Samuel;2;0;male;49;1;2;S
Herman, Mrs. Samuel (Jane Laver);2;1;female;48;1;2;S
Hewlett, Mrs. (Mary D Kingcome) ;2;1;female;55;0;0;S
Hickman, Mr. Leonard Mark;2;0;male;24;2;0;S
Hickman, Mr. Lewis;2;0;male;32;2;0;S
Hickman, Mr. Stanley George;2;0;male;21;2;0;S
Hiltunen, Miss. Marta;2;0;female;18;1;1;S
"Hocking, Miss. Ellen ""Nellie""";2;1;female;20;2;1;S
Hocking, Mr. Richard George;2;0;male;23;2;1;S
Hocking, Mr. Samuel James Metcalfe;2;0;male;36;0;0;S
Hocking, Mrs. Elizabeth (Eliza Needs);2;1;female;54;1;3;S
Hodges, Mr. Henry Price;2;0;male;50;0;0;S
Hold, Mr. Stephen;2;0;male;44;1;0;S
Hold, Mrs. Stephen (Annie Margaret Hill);2;1;female;29;1;0;S
Hood, Mr. Ambrose Jr;2;0;male;21;0;0;S
Hosono, Mr. Masabumi;2;1;male;42;0;0;S
Howard, Mr. Benjamin;2;0;male;63;1;0;S
Howard, Mrs. Benjamin (Ellen Truelove Arman);2;0;female;60;1;0;S
Hunt, Mr. George Henry;2;0;male;33;0;0;S
Ilett, Miss. Bertha;2;1;female;17;0;0;S
Jacobsohn, Mr. Sidney Samuel;2;0;male;42;1;0;S
Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy);2;1;female;24;2;1;S
Jarvis, Mr. John Denzil;2;0;male;47;0;0;S
Jefferys, Mr. Clifford Thomas;2;0;male;24;2;0;S
Jefferys, Mr. Ernest Wilfred;2;0;male;22;2;0;S
Jenkin, Mr. Stephen Curnow;2;0;male;32;0;0;S
Jerwan, Mrs. Amin S (Marie Marthe Thuillard);2;1;female;23;0;0;C
Kantor, Mr. Sinai;2;0;male;34;1;0;S
Kantor, Mrs. Sinai (Miriam Sternin);2;1;female;24;1;0;S
Karnes, Mrs. J Frank (Claire Bennett);2;0;female;22;0;0;S
Keane, Miss. Nora A;2;1;female;;0;0;Q
Keane, Mr. Daniel;2;0;male;35;0;0;Q
"Kelly, Mrs. Florence ""Fannie""";2;1;female;45;0;0;S
Kirkland, Rev. Charles Leonard;2;0;male;57;0;0;Q
Knight, Mr. Robert J;2;0;male;;0;0;S
Kvillner, Mr. Johan Henrik Johannesson;2;0;male;31;0;0;S
Lahtinen, Mrs. William (Anna Sylfven);2;0;female;26;1;1;S
Lahtinen, Rev. William;2;0;male;30;1;1;S
Lamb, Mr. John Joseph;2;0;male;;0;0;Q
Laroche, Miss. Louise;2;1;female;1;1;2;C
Laroche, Miss. Simonne Marie Anne Andree;2;1;female;3;1;2;C
Laroche, Mr. Joseph Philippe Lemercier;2;0;male;25;1;2;C
Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue);2;1;female;22;1;2;C
Lehmann, Miss. Bertha;2;1;female;17;0;0;C
Leitch, Miss. Jessie Wills;2;1;female;;0;0;S
Lemore, Mrs. (Amelia Milley);2;1;female;34;0;0;S
Levy, Mr. Rene Jacques;2;0;male;36;0;0;C
Leyson, Mr. Robert William Norman;2;0;male;24;0;0;S
Lingane, Mr. John;2;0;male;61;0;0;Q
Louch, Mr. Charles Alexander;2;0;male;50;1;0;S
Louch, Mrs. Charles Alexander (Alice Adelaide Slow);2;1;female;42;1;0;S
Mack, Mrs. (Mary);2;0;female;57;0;0;S
Malachard, Mr. Noel;2;0;male;;0;0;C
Mallet, Master. Andre;2;1;male;1;0;2;C
Mallet, Mr. Albert;2;0;male;31;1;1;C
Mallet, Mrs. Albert (Antoinette Magnin);2;1;female;24;1;1;C
Mangiavacchi, Mr. Serafino Emilio;2;0;male;;0;0;C
Matthews, Mr. William John;2;0;male;30;0;0;S
Maybery, Mr. Frank Hubert;2;0;male;40;0;0;S
McCrae, Mr. Arthur Gordon;2;0;male;32;0;0;S
McCrie, Mr. James Matthew;2;0;male;30;0;0;S
McKane, Mr. Peter David;2;0;male;46;0;0;S
Mellinger, Miss. Madeleine Violet;2;1;female;13;0;1;S
Mellinger, Mrs. (Elizabeth Anne Maidment);2;1;female;41;0;1;S
Mellors, Mr. William John;2;1;male;19;0;0;S
Meyer, Mr. August;2;0;male;39;0;0;S
Milling, Mr. Jacob Christian;2;0;male;48;0;0;S
Mitchell, Mr. Henry Michael;2;0;male;70;0;0;S
Montvila, Rev. Juozas;2;0;male;27;0;0;S
Moraweck, Dr. Ernest;2;0;male;54;0;0;S
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")";2;0;male;39;0;0;S
Mudd, Mr. Thomas Charles;2;0;male;16;0;0;S
Myles, Mr. Thomas Francis;2;0;male;62;0;0;Q
Nasser, Mr. Nicholas;2;0;male;32,5;1;0;C
Nasser, Mrs. Nicholas (Adele Achem);2;1;female;14;1;0;C
Navratil, Master. Edmond Roger;2;1;male;2;1;1;S
Navratil, Master. Michel M;2;1;male;3;1;1;S
"Navratil, Mr. Michel (""Louis M Hoffman"")";2;0;male;36,5;0;2;S
Nesson, Mr. Israel;2;0;male;26;0;0;S
Nicholls, Mr. Joseph Charles;2;0;male;19;1;1;S
Norman, Mr. Robert Douglas;2;0;male;28;0;0;S
"Nourney, Mr. Alfred (""Baron von Drachstedt"")";2;1;male;20;0;0;C
Nye, Mrs. (Elizabeth Ramell);2;1;female;29;0;0;S
Otter, Mr. Richard;2;0;male;39;0;0;S
Oxenham, Mr. Percy Thomas;2;1;male;22;0;0;S
Padro y Manent, Mr. Julian;2;1;male;;0;0;C
Pain, Dr. Alfred;2;0;male;23;0;0;S
Pallas y Castello, Mr. Emilio;2;1;male;29;0;0;C
Parker, Mr. Clifford Richard;2;0;male;28;0;0;S
"Parkes, Mr. Francis ""Frank""";2;0;male;;0;0;S
Parrish, Mrs. (Lutie Davis);2;1;female;50;0;1;S
Pengelly, Mr. Frederick William;2;0;male;19;0;0;S
Pernot, Mr. Rene;2;0;male;;0;0;C
Peruschitz, Rev. Joseph Maria;2;0;male;41;0;0;S
Phillips, Miss. Alice Frances Louisa;2;1;female;21;0;1;S
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")";2;1;female;19;0;0;S
Phillips, Mr. Escott Robert;2;0;male;43;0;1;S
Pinsky, Mrs. (Rosa);2;1;female;32;0;0;S
Ponesell, Mr. Martin;2;0;male;34;0;0;S
Portaluppi, Mr. Emilio Ilario Giuseppe;2;1;male;30;0;0;C
Pulbaum, Mr. Franz;2;0;male;27;0;0;C
Quick, Miss. Phyllis May;2;1;female;2;1;1;S
Quick, Miss. Winifred Vera;2;1;female;8;1;1;S
Quick, Mrs. Frederick Charles (Jane Richards);2;1;female;33;0;2;S
Reeves, Mr. David;2;0;male;36;0;0;S
Renouf, Mr. Peter Henry;2;0;male;34;1;0;S
Renouf, Mrs. Peter Henry (Lillian Jefferys);2;1;female;30;3;0;S
Reynaldo, Ms. Encarnacion;2;1;female;28;0;0;S
Richard, Mr. Emile;2;0;male;23;0;0;C
Richards, Master. George Sibley;2;1;male;0,8333;1;1;S
Richards, Master. William Rowe;2;1;male;3;1;1;S
Richards, Mrs. Sidney (Emily Hocking);2;1;female;24;2;3;S
Ridsdale, Miss. Lucy;2;1;female;50;0;0;S
Rogers, Mr. Reginald Harry;2;0;male;19;0;0;S
Rugg, Miss. Emily;2;1;female;21;0;0;S
Schmidt, Mr. August;2;0;male;26;0;0;S
Sedgwick, Mr. Charles Frederick Waddington;2;0;male;25;0;0;S
Sharp, Mr. Percival James R;2;0;male;27;0;0;S
Shelley, Mrs. William (Imanita Parrish Hall);2;1;female;25;0;1;S
Silven, Miss. Lyyli Karoliina;2;1;female;18;0;2;S
Sincock, Miss. Maude;2;1;female;20;0;0;S
Sinkkonen, Miss. Anna;2;1;female;30;0;0;S
Sjostedt, Mr. Ernst Adolf;2;0;male;59;0;0;S
Slayter, Miss. Hilda Mary;2;1;female;30;0;0;Q
Slemen, Mr. Richard James;2;0;male;35;0;0;S
Smith, Miss. Marion Elsie;2;1;female;40;0;0;S
Sobey, Mr. Samuel James Hayden;2;0;male;25;0;0;S
Stanton, Mr. Samuel Ward;2;0;male;41;0;0;C
Stokes, Mr. Philip Joseph;2;0;male;25;0;0;S
Swane, Mr. George;2;0;male;18,5;0;0;S
Sweet, Mr. George Frederick;2;0;male;14;0;0;S
Toomey, Miss. Ellen;2;1;female;50;0;0;S
Troupiansky, Mr. Moses Aaron;2;0;male;23;0;0;S
Trout, Mrs. William H (Jessie L);2;1;female;28;0;0;S
"Troutt, Miss. Edwina Celia ""Winnie""";2;1;female;27;0;0;S
Turpin, Mr. William John Robert;2;0;male;29;1;0;S
Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott);2;0;female;27;1;0;S
Veal, Mr. James;2;0;male;40;0;0;S
Walcroft, Miss. Nellie;2;1;female;31;0;0;S
Ware, Mr. John James;2;0;male;30;1;0;S
Ware, Mr. William Jeffery;2;0;male;23;1;0;S
Ware, Mrs. John James (Florence Louise Long);2;1;female;31;0;0;S
Watson, Mr. Ennis Hastings;2;0;male;;0;0;S
Watt, Miss. Bertha J;2;1;female;12;0;0;S
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)";2;1;female;40;0;0;S
Webber, Miss. Susan;2;1;female;32,5;0;0;S
Weisz, Mr. Leopold;2;0;male;27;1;0;S
Weisz, Mrs. Leopold (Mathilde Francoise Pede);2;1;female;29;1;0;S
Wells, Master. Ralph Lester;2;1;male;2;1;1;S
Wells, Miss. Joan;2;1;female;4;1;1;S
"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)";2;1;female;29;0;2;S
West, Miss. Barbara J;2;1;female;0,9167;1;2;S
West, Miss. Constance Mirium;2;1;female;5;1;2;S
West, Mr. Edwy Arthur;2;0;male;36;1;2;S
West, Mrs. Edwy Arthur (Ada Mary Worth);2;1;female;33;1;2;S
Wheadon, Mr. Edward H;2;0;male;66;0;0;S
"Wheeler, Mr. Edwin ""Frederick""";2;0;male;;0;0;S
Wilhelms, Mr. Charles;2;1;male;31;0;0;S
Williams, Mr. Charles Eugene;2;1;male;;0;0;S
Wright, Miss. Marion;2;1;female;26;0;0;S
"Yrois, Miss. Henriette (""Mrs Harbeck"")";2;0;female;24;0;0;S
Abbing, Mr. Anthony;3;0;male;42;0;0;S
Abbott, Master. Eugene Joseph;3;0;male;13;0;2;S
Abbott, Mr. Rossmore Edward;3;0;male;16;1;1;S
Abbott, Mrs. Stanton (Rosa Hunt);3;1;female;35;1;1;S
Abelseth, Miss. Karen Marie;3;1;female;16;0;0;S
Abelseth, Mr. Olaus Jorgensen;3;1;male;25;0;0;S
Abrahamsson, Mr. Abraham August Johannes;3;1;male;20;0;0;S
Abrahim, Mrs. Joseph (Sophie Halaut Easu);3;1;female;18;0;0;C
Adahl, Mr. Mauritz Nils Martin;3;0;male;30;0;0;S
Adams, Mr. John;3;0;male;26;0;0;S
Ahlin, Mrs. Johan (Johanna Persdotter Larsson);3;0;female;40;1;0;S
Aks, Master. Philip Frank;3;1;male;0,8333;0;1;S
Aks, Mrs. Sam (Leah Rosen);3;1;female;18;0;1;S
Albimona, Mr. Nassef Cassem;3;1;male;26;0;0;C
Alexander, Mr. William;3;0;male;26;0;0;S
Alhomaki, Mr. Ilmari Rudolf;3;0;male;20;0;0;S
Ali, Mr. Ahmed;3;0;male;24;0;0;S
Ali, Mr. William;3;0;male;25;0;0;S
Allen, Mr. William Henry;3;0;male;35;0;0;S
Allum, Mr. Owen George;3;0;male;18;0;0;S
Andersen, Mr. Albert Karvin;3;0;male;32;0;0;S
Andersen-Jensen, Miss. Carla Christine Nielsine;3;1;female;19;1;0;S
Andersson, Master. Sigvard Harald Elias;3;0;male;4;4;2;S
Andersson, Miss. Ebba Iris Alfrida;3;0;female;6;4;2;S
Andersson, Miss. Ellis Anna Maria;3;0;female;2;4;2;S
Andersson, Miss. Erna Alexandra;3;1;female;17;4;2;S
Andersson, Miss. Ida Augusta Margareta;3;0;female;38;4;2;S
Andersson, Miss. Ingeborg Constanzia;3;0;female;9;4;2;S
Andersson, Miss. Sigrid Elisabeth;3;0;female;11;4;2;S
Andersson, Mr. Anders Johan;3;0;male;39;1;5;S
"Andersson, Mr. August Edvard (""Wennerstrom"")";3;1;male;27;0;0;S
Andersson, Mr. Johan Samuel;3;0;male;26;0;0;S
Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren);3;0;female;39;1;5;S
Andreasson, Mr. Paul Edvin;3;0;male;20;0;0;S
Angheloff, Mr. Minko;3;0;male;26;0;0;S
Arnold-Franchi, Mr. Josef;3;0;male;25;1;0;S
Arnold-Franchi, Mrs. Josef (Josefine Franchi);3;0;female;18;1;0;S
Aronsson, Mr. Ernst Axel Algot;3;0;male;24;0;0;S
Asim, Mr. Adola;3;0;male;35;0;0;S
Asplund, Master. Carl Edgar;3;0;male;5;4;2;S
Asplund, Master. Clarence Gustaf Hugo;3;0;male;9;4;2;S
Asplund, Master. Edvin Rojj Felix;3;1;male;3;4;2;S
Asplund, Master. Filip Oscar;3;0;male;13;4;2;S
Asplund, Miss. Lillian Gertrud;3;1;female;5;4;2;S
Asplund, Mr. Carl Oscar Vilhelm Gustafsson;3;0;male;40;1;5;S
Asplund, Mr. Johan Charles;3;1;male;23;0;0;S
Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);3;1;female;38;1;5;S
"Assaf Khalil, Mrs. Mariana (""Miriam"")";3;1;female;45;0;0;C
Assaf, Mr. Gerios;3;0;male;21;0;0;C
Assam, Mr. Ali;3;0;male;23;0;0;S
Attalah, Miss. Malake;3;0;female;17;0;0;C
Attalah, Mr. Sleiman;3;0;male;30;0;0;C
Augustsson, Mr. Albert;3;0;male;23;0;0;S
Ayoub, Miss. Banoura;3;1;female;13;0;0;C
Baccos, Mr. Raffull;3;0;male;20;0;0;C
Backstrom, Mr. Karl Alfred;3;0;male;32;1;0;S
Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson);3;1;female;33;3;0;S
Baclini, Miss. Eugenie;3;1;female;0,75;2;1;C
Baclini, Miss. Helene Barbara;3;1;female;0,75;2;1;C
Baclini, Miss. Marie Catherine;3;1;female;5;2;1;C
Baclini, Mrs. Solomon (Latifa Qurban);3;1;female;24;0;3;C
Badman, Miss. Emily Louisa;3;1;female;18;0;0;S
Badt, Mr. Mohamed;3;0;male;40;0;0;C
Balkic, Mr. Cerin;3;0;male;26;0;0;S
Barah, Mr. Hanna Assi;3;1;male;20;0;0;C
Barbara, Miss. Saiide;3;0;female;18;0;1;C
Barbara, Mrs. (Catherine David);3;0;female;45;0;1;C
Barry, Miss. Julia;3;0;female;27;0;0;Q
Barton, Mr. David John;3;0;male;22;0;0;S
Beavan, Mr. William Thomas;3;0;male;19;0;0;S
Bengtsson, Mr. John Viktor;3;0;male;26;0;0;S
Berglund, Mr. Karl Ivar Sven;3;0;male;22;0;0;S
Betros, Master. Seman;3;0;male;;0;0;C
Betros, Mr. Tannous;3;0;male;20;0;0;C
Bing, Mr. Lee;3;1;male;32;0;0;S
Birkeland, Mr. Hans Martin Monsen;3;0;male;21;0;0;S
Bjorklund, Mr. Ernst Herbert;3;0;male;18;0;0;S
Bostandyeff, Mr. Guentcho;3;0;male;26;0;0;S
Boulos, Master. Akar;3;0;male;6;1;1;C
Boulos, Miss. Nourelain;3;0;female;9;1;1;C
Boulos, Mr. Hanna;3;0;male;;0;0;C
Boulos, Mrs. Joseph (Sultana);3;0;female;;0;2;C
Bourke, Miss. Mary;3;0;female;;0;2;Q
Bourke, Mr. John;3;0;male;40;1;1;Q
Bourke, Mrs. John (Catherine);3;0;female;32;1;1;Q
"Bowen, Mr. David John ""Dai""";3;0;male;21;0;0;S
Bradley, Miss. Bridget Delia;3;1;female;22;0;0;Q
Braf, Miss. Elin Ester Maria;3;0;female;20;0;0;S
Braund, Mr. Lewis Richard;3;0;male;29;1;0;S
Braund, Mr. Owen Harris;3;0;male;22;1;0;S
Brobeck, Mr. Karl Rudolf;3;0;male;22;0;0;S
Brocklebank, Mr. William Alfred;3;0;male;35;0;0;S
Buckley, Miss. Katherine;3;0;female;18,5;0;0;Q
Buckley, Mr. Daniel;3;1;male;21;0;0;Q
Burke, Mr. Jeremiah;3;0;male;19;0;0;Q
Burns, Miss. Mary Delia;3;0;female;18;0;0;Q
Cacic, Miss. Manda;3;0;female;21;0;0;S
Cacic, Miss. Marija;3;0;female;30;0;0;S
Cacic, Mr. Jego Grga;3;0;male;18;0;0;S
Cacic, Mr. Luka;3;0;male;38;0;0;S
Calic, Mr. Jovo;3;0;male;17;0;0;S
Calic, Mr. Petar;3;0;male;17;0;0;S
Canavan, Miss. Mary;3;0;female;21;0;0;Q
Canavan, Mr. Patrick;3;0;male;21;0;0;Q
Cann, Mr. Ernest Charles;3;0;male;21;0;0;S
Caram, Mr. Joseph;3;0;male;;1;0;C
Caram, Mrs. Joseph (Maria Elias);3;0;female;;1;0;C
Carlsson, Mr. August Sigfrid;3;0;male;28;0;0;S
Carlsson, Mr. Carl Robert;3;0;male;24;0;0;S
"Carr, Miss. Helen ""Ellen""";3;1;female;16;0;0;Q
Carr, Miss. Jeannie;3;0;female;37;0;0;Q
Carver, Mr. Alfred John;3;0;male;28;0;0;S
Celotti, Mr. Francesco;3;0;male;24;0;0;S
Charters, Mr. David;3;0;male;21;0;0;Q
Chip, Mr. Chang;3;1;male;32;0;0;S
Christmann, Mr. Emil;3;0;male;29;0;0;S
Chronopoulos, Mr. Apostolos;3;0;male;26;1;0;C
Chronopoulos, Mr. Demetrios;3;0;male;18;1;0;C
Coelho, Mr. Domingos Fernandeo;3;0;male;20;0;0;S
"Cohen, Mr. Gurshon ""Gus""";3;1;male;18;0;0;S
Colbert, Mr. Patrick;3;0;male;24;0;0;Q
Coleff, Mr. Peju;3;0;male;36;0;0;S
Coleff, Mr. Satio;3;0;male;24;0;0;S
Conlon, Mr. Thomas Henry;3;0;male;31;0;0;Q
Connaghton, Mr. Michael;3;0;male;31;0;0;Q
Connolly, Miss. Kate;3;1;female;22;0;0;Q
Connolly, Miss. Kate;3;0;female;30;0;0;Q
Connors, Mr. Patrick;3;0;male;70,5;0;0;Q
Cook, Mr. Jacob;3;0;male;43;0;0;S
Cor, Mr. Bartol;3;0;male;35;0;0;S
Cor, Mr. Ivan;3;0;male;27;0;0;S
Cor, Mr. Liudevit;3;0;male;19;0;0;S
Corn, Mr. Harry;3;0;male;30;0;0;S
"Coutts, Master. Eden Leslie ""Neville""";3;1;male;9;1;1;S
"Coutts, Master. William Loch ""William""";3;1;male;3;1;1;S
"Coutts, Mrs. William (Winnie ""Minnie"" Treanor)";3;1;female;36;0;2;S
Coxon, Mr. Daniel;3;0;male;59;0;0;S
Crease, Mr. Ernest James;3;0;male;19;0;0;S
Cribb, Miss. Laura Alice;3;1;female;17;0;1;S
Cribb, Mr. John Hatfield;3;0;male;44;0;1;S
Culumovic, Mr. Jeso;3;0;male;17;0;0;S
Daher, Mr. Shedid;3;0;male;22,5;0;0;C
Dahl, Mr. Karl Edwart;3;1;male;45;0;0;S
Dahlberg, Miss. Gerda Ulrika;3;0;female;22;0;0;S
Dakic, Mr. Branko;3;0;male;19;0;0;S
"Daly, Miss. Margaret Marcella ""Maggie""";3;1;female;30;0;0;Q
Daly, Mr. Eugene Patrick;3;1;male;29;0;0;Q
Danbom, Master. Gilbert Sigvard Emanuel;3;0;male;0,3333;0;2;S
Danbom, Mr. Ernst Gilbert;3;0;male;34;1;1;S
Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren);3;0;female;28;1;1;S
Danoff, Mr. Yoto;3;0;male;27;0;0;S
Dantcheff, Mr. Ristiu;3;0;male;25;0;0;S
Davies, Mr. Alfred J;3;0;male;24;2;0;S
Davies, Mr. Evan;3;0;male;22;0;0;S
Davies, Mr. John Samuel;3;0;male;21;2;0;S
Davies, Mr. Joseph;3;0;male;17;2;0;S
Davison, Mr. Thomas Henry;3;0;male;;1;0;S
Davison, Mrs. Thomas Henry (Mary E Finck);3;1;female;;1;0;S
de Messemaeker, Mr. Guillaume Joseph;3;1;male;36,5;1;0;S
de Messemaeker, Mrs. Guillaume Joseph (Emma);3;1;female;36;1;0;S
de Mulder, Mr. Theodore;3;1;male;30;0;0;S
de Pelsmaeker, Mr. Alfons;3;0;male;16;0;0;S
Dean, Master. Bertram Vere;3;1;male;1;1;2;S
"Dean, Miss. Elizabeth Gladys ""Millvina""";3;1;female;0,1667;1;2;S
Dean, Mr. Bertram Frank;3;0;male;26;1;2;S
Dean, Mrs. Bertram (Eva Georgetta Light);3;1;female;33;1;2;S
Delalic, Mr. Redjo;3;0;male;25;0;0;S
Demetri, Mr. Marinko;3;0;male;;0;0;S
Denkoff, Mr. Mitto;3;0;male;;0;0;S
Dennis, Mr. Samuel;3;0;male;22;0;0;S
Dennis, Mr. William;3;0;male;36;0;0;S
Devaney, Miss. Margaret Delia;3;1;female;19;0;0;Q
Dika, Mr. Mirko;3;0;male;17;0;0;S
Dimic, Mr. Jovan;3;0;male;42;0;0;S
Dintcheff, Mr. Valtcho;3;0;male;43;0;0;S
Doharr, Mr. Tannous;3;0;male;;0;0;C
Dooley, Mr. Patrick;3;0;male;32;0;0;Q
Dorking, Mr. Edward Arthur;3;1;male;19;0;0;S
Dowdell, Miss. Elizabeth;3;1;female;30;0;0;S
Doyle, Miss. Elizabeth;3;0;female;24;0;0;Q
Drapkin, Miss. Jennie;3;1;female;23;0;0;S
Drazenoic, Mr. Jozef;3;0;male;33;0;0;C
Duane, Mr. Frank;3;0;male;65;0;0;Q
Duquemin, Mr. Joseph;3;1;male;24;0;0;S
Dyker, Mr. Adolf Fredrik;3;0;male;23;1;0;S
Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson);3;1;female;22;1;0;S
Edvardsson, Mr. Gustaf Hjalmar;3;0;male;18;0;0;S
Eklund, Mr. Hans Linus;3;0;male;16;0;0;S
Ekstrom, Mr. Johan;3;0;male;45;0;0;S
Elias, Mr. Dibo;3;0;male;;0;0;C
Elias, Mr. Joseph;3;0;male;39;0;2;C
Elias, Mr. Joseph Jr;3;0;male;17;1;1;C
Elias, Mr. Tannous;3;0;male;15;1;1;C
Elsbury, Mr. William James;3;0;male;47;0;0;S
Emanuel, Miss. Virginia Ethel;3;1;female;5;0;0;S
Emir, Mr. Farred Chehab;3;0;male;;0;0;C
Everett, Mr. Thomas James;3;0;male;40,5;0;0;S
Farrell, Mr. James;3;0;male;40,5;0;0;Q
Finoli, Mr. Luigi;3;1;male;;0;0;S
Fischer, Mr. Eberhard Thelander;3;0;male;18;0;0;S
Fleming, Miss. Honora;3;0;female;;0;0;Q
Flynn, Mr. James;3;0;male;;0;0;Q
Flynn, Mr. John;3;0;male;;0;0;Q
Foley, Mr. Joseph;3;0;male;26;0;0;Q
Foley, Mr. William;3;0;male;;0;0;Q
Foo, Mr. Choong;3;1;male;;0;0;S
"Ford, Miss. Doolina Margaret ""Daisy""";3;0;female;21;2;2;S
"Ford, Miss. Robina Maggie ""Ruby""";3;0;female;9;2;2;S
Ford, Mr. Arthur;3;0;male;;0;0;S
Ford, Mr. Edward Watson;3;0;male;18;2;2;S
Ford, Mr. William Neal;3;0;male;16;1;3;S
Ford, Mrs. Edward (Margaret Ann Watson);3;0;female;48;1;3;S
Fox, Mr. Patrick;3;0;male;;0;0;Q
Franklin, Mr. Charles (Charles Fardon);3;0;male;;0;0;S
Gallagher, Mr. Martin;3;0;male;25;0;0;Q
Garfirth, Mr. John;3;0;male;;0;0;S
Gheorgheff, Mr. Stanio;3;0;male;;0;0;C
Gilinski, Mr. Eliezer;3;0;male;22;0;0;S
"Gilnagh, Miss. Katherine ""Katie""";3;1;female;16;0;0;Q
Glynn, Miss. Mary Agatha;3;1;female;;0;0;Q
"Goldsmith, Master. Frank John William ""Frankie""";3;1;male;9;0;2;S
Goldsmith, Mr. Frank John;3;0;male;33;1;1;S
Goldsmith, Mr. Nathan;3;0;male;41;0;0;S
Goldsmith, Mrs. Frank John (Emily Alice Brown);3;1;female;31;1;1;S
Goncalves, Mr. Manuel Estanslas;3;0;male;38;0;0;S
Goodwin, Master. Harold Victor;3;0;male;9;5;2;S
Goodwin, Master. Sidney Leonard;3;0;male;1;5;2;S
Goodwin, Master. William Frederick;3;0;male;11;5;2;S
Goodwin, Miss. Jessie Allis;3;0;female;10;5;2;S
Goodwin, Miss. Lillian Amy;3;0;female;16;5;2;S
Goodwin, Mr. Charles Edward;3;0;male;14;5;2;S
Goodwin, Mr. Charles Frederick;3;0;male;40;1;6;S
Goodwin, Mrs. Frederick (Augusta Tyler);3;0;female;43;1;6;S
Green, Mr. George Henry;3;0;male;51;0;0;S
Gronnestad, Mr. Daniel Danielsen;3;0;male;32;0;0;S
Guest, Mr. Robert;3;0;male;;0;0;S
Gustafsson, Mr. Alfred Ossian;3;0;male;20;0;0;S
Gustafsson, Mr. Anders Vilhelm;3;0;male;37;2;0;S
Gustafsson, Mr. Johan Birger;3;0;male;28;2;0;S
Gustafsson, Mr. Karl Gideon;3;0;male;19;0;0;S
Haas, Miss. Aloisia;3;0;female;24;0;0;S
Hagardon, Miss. Kate;3;0;female;17;0;0;Q
Hagland, Mr. Ingvald Olai Olsen;3;0;male;;1;0;S
Hagland, Mr. Konrad Mathias Reiersen;3;0;male;;1;0;S
Hakkarainen, Mr. Pekka Pietari;3;0;male;28;1;0;S
Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck);3;1;female;24;1;0;S
Hampe, Mr. Leon;3;0;male;20;0;0;S
Hanna, Mr. Mansour;3;0;male;23,5;0;0;C
Hansen, Mr. Claus Peter;3;0;male;41;2;0;S
Hansen, Mr. Henrik Juul;3;0;male;26;1;0;S
Hansen, Mr. Henry Damsgaard;3;0;male;21;0;0;S
Hansen, Mrs. Claus Peter (Jennie L Howard);3;1;female;45;1;0;S
Harknett, Miss. Alice Phoebe;3;0;female;;0;0;S
Harmer, Mr. Abraham (David Lishin);3;0;male;25;0;0;S
Hart, Mr. Henry;3;0;male;;0;0;Q
Hassan, Mr. Houssein G N;3;0;male;11;0;0;C
"Healy, Miss. Hanora ""Nora""";3;1;female;;0;0;Q
Hedman, Mr. Oskar Arvid;3;1;male;27;0;0;S
Hee, Mr. Ling;3;1;male;;0;0;S
"Hegarty, Miss. Hanora ""Nora""";3;0;female;18;0;0;Q
Heikkinen, Miss. Laina;3;1;female;26;0;0;S
Heininen, Miss. Wendla Maria;3;0;female;23;0;0;S
Hellstrom, Miss. Hilda Maria;3;1;female;22;0;0;S
Hendekovic, Mr. Ignjac;3;0;male;28;0;0;S
